-0.88 G, 0.17 G, -0.10 G
-0.87 G, 0.18 G, -0.08 G
-0.81 G, 0.18 G, -0.08 G
-0.83 G, 0.20 G, -0.06 G
-0.77 G, 0.20 G, -0.06 G
-0.77 G, 0.21 G, -0.05 G
-0.71 G, 0.18 G, -0.07 G
-0.59 G, 0.14 G, -0.10 G
-0.57 G, 0.15 G, -0.13 G
-0.54 G, 0.15 G, -0.14 G
-0.51 G, 0.16 G, -0.13 G
-0.42 G, 0.16 G, -0.16 G
-0.36 G, 0.15 G, -0.20 G
-0.31 G, 0.16 G, -0.22 G
-0.29 G, 0.19 G, -0.22 G
-0.33 G, 0.23 G, -0.19 G
-0.45 G, 0.29 G, -0.15 G
-0.48 G, 0.30 G, -0.12 G
-0.54 G, 0.31 G, -0.12 G
-0.52 G, 0.29 G, -0.13 G
-0.63 G, 0.31 G, -0.10 G
-0.66 G, 0.32 G, -0.07 G
-0.71 G, 0.33 G, -0.04 G
-0.73 G, 0.31 G, -0.02 G
-0.79 G, 0.30 G, -0.02 G
-1.00 G, 0.32 G, 0.05 G
-0.99 G, 0.32 G, 0.05 G
-0.97 G, 0.31 G, 0.05 G
-0.94 G, 0.32 G, 0.05 G
-0.90 G, 0.31 G, 0.03 G
-0.87 G, 0.31 G, 0.00 G
-0.83 G, 0.31 G, -0.02 G
-0.78 G, 0.31 G, -0.06 G
-0.74 G, 0.31 G, -0.08 G
-0.70 G, 0.30 G, -0.10 G
-0.66 G, 0.30 G, -0.12 G
-0.64 G, 0.30 G, -0.14 G
-0.61 G, 0.30 G, -0.15 G
-0.59 G, 0.30 G, -0.15 G
-0.56 G, 0.31 G, -0.15 G
-0.56 G, 0.30 G, -0.16 G
-0.56 G, 0.30 G, -0.16 G
-0.54 G, 0.29 G, -0.17 G
-0.53 G, 0.28 G, -0.18 G
-0.53 G, 0.26 G, -0.18 G
-0.51 G, 0.24 G, -0.18 G
-0.51 G, 0.23 G, -0.19 G
-0.50 G, 0.20 G, -0.19 G
-0.49 G, 0.18 G, -0.19 G
-0.48 G, 0.17 G, -0.19 G
-0.49 G, 0.16 G, -0.19 G
-0.50 G, 0.17 G, -0.17 G
-0.53 G, 0.17 G, -0.16 G
-0.57 G, 0.17 G, -0.15 G
-0.60 G, 0.18 G, -0.13 G
-0.88 G, 0.34 G, -0.09 G
-0.88 G, 0.30 G, -0.03 G
-0.88 G, 0.26 G, -0.03 G
-0.84 G, 0.19 G, -0.04 G
-0.83 G, 0.16 G, -0.04 G
-0.81 G, 0.14 G, -0.03 G
-0.78 G, 0.13 G, -0.02 G
-0.73 G, 0.13 G, -0.02 G
-0.68 G, 0.12 G, -0.02 G
-0.65 G, 0.13 G, -0.03 G
-0.64 G, 0.15 G, -0.01 G
-0.65 G, 0.18 G, 0.00 G
-0.70 G, 0.20 G, 0.00 G
-0.68 G, 0.17 G, -0.01 G
-0.77 G, 0.16 G, 0.00 G
-0.76 G, 0.14 G, -0.01 G
-0.81 G, 0.12 G, 0.00 G
-0.79 G, 0.10 G, 0.00 G
-0.81 G, 0.08 G, 0.01 G
-0.75 G, 0.04 G, 0.00 G
-0.72 G, 0.01 G, -0.03 G
-0.68 G, 0.00 G, -0.08 G
-0.68 G, 0.00 G, -0.11 G
-0.68 G, 0.03 G, -0.12 G
-0.71 G, 0.06 G, -0.15 G
-0.71 G, 0.07 G, -0.17 G
-0.28 G, 0.77 G, 0.48 G
-0.28 G, 0.76 G, 0.49 G
-0.28 G, 0.79 G, 0.52 G
-0.29 G, 0.79 G, 0.56 G
-0.30 G, 0.79 G, 0.59 G
-0.29 G, 0.79 G, 0.61 G
-0.29 G, 0.76 G, 0.63 G
-0.27 G, 0.72 G, 0.57 G
-0.22 G, 0.71 G, 0.58 G
-0.17 G, 0.70 G, 0.54 G
-0.17 G, 0.65 G, 0.51 G
-0.19 G, 0.64 G, 0.51 G
-0.22 G, 0.64 G, 0.50 G
-0.26 G, 0.68 G, 0.50 G
-0.30 G, 0.68 G, 0.49 G
-0.37 G, 0.70 G, 0.51 G
-0.37 G, 0.73 G, 0.53 G
-0.37 G, 0.77 G, 0.56 G
-0.40 G, 0.77 G, 0.60 G
-0.38 G, 0.79 G, 0.63 G
-0.37 G, 0.79 G, 0.71 G
-0.38 G, 0.79 G, 0.69 G
-0.33 G, 0.84 G, 0.67 G
-0.25 G, 0.93 G, 0.61 G
-0.23 G, 0.99 G, 0.51 G
-0.21 G, 0.87 G, 0.48 G
-0.23 G, 0.76 G, 0.32 G
-0.44 G, 0.59 G, 0.49 G
-0.36 G, 0.67 G, 0.67 G
-0.22 G, 0.52 G, 0.39 G
-0.43 G, 0.42 G, 0.57 G
-0.05 G, 0.85 G, 0.40 G
-0.14 G, 0.63 G, 0.32 G
0.01 G, 0.70 G, 0.31 G
-0.11 G, 0.70 G, 0.27 G
-0.18 G, 0.63 G, 0.39 G
-0.16 G, 0.84 G, 0.41 G
-0.22 G, 0.80 G, 0.26 G
-0.07 G, 0.76 G, 0.32 G
-0.17 G, 0.73 G, 0.29 G
-0.38 G, 0.72 G, 0.30 G
-0.50 G, 0.70 G, 0.34 G
-0.43 G, 0.77 G, 0.38 G
-0.35 G, 0.85 G, 0.32 G
-0.27 G, 0.86 G, 0.36 G
-0.22 G, 0.88 G, 0.44 G
-0.27 G, 0.86 G, 0.41 G
-0.30 G, 0.92 G, 0.39 G
-0.33 G, 0.92 G, 0.39 G
-0.37 G, 0.90 G, 0.37 G
-0.34 G, 0.96 G, 0.36 G
-0.31 G, 0.96 G, 0.39 G
-0.37 G, 0.89 G, 0.42 G
-0.34 G, 0.84 G, 0.41 G
-0.33 G, 0.88 G, 0.37 G
-0.29 G, 0.84 G, 0.35 G
-0.39 G, 0.80 G, 0.34 G
-0.48 G, 0.76 G, 0.36 G
-0.56 G, 0.73 G, 0.34 G
-0.52 G, 0.83 G, 0.35 G
-0.49 G, 0.89 G, 0.33 G
-0.49 G, 0.84 G, 0.38 G
-0.50 G, 0.90 G, 0.34 G
-0.50 G, 0.93 G, 0.32 G
-0.53 G, 0.92 G, 0.29 G
-0.54 G, 0.86 G, 0.33 G
-0.52 G, 0.80 G, 0.32 G
-0.49 G, 0.85 G, 0.26 G
-0.42 G, 1.04 G, 0.23 G
-0.26 G, 1.15 G, 0.25 G
-0.17 G, 0.97 G, 0.37 G
-0.23 G, 0.85 G, 0.37 G
-0.34 G, 0.76 G, 0.39 G
-0.39 G, 0.63 G, 0.41 G
-0.43 G, 0.59 G, 0.39 G
-0.47 G, 0.68 G, 0.31 G
-0.52 G, 0.80 G, 0.32 G
-0.55 G, 0.76 G, 0.38 G
-0.50 G, 0.73 G, 0.39 G
-0.52 G, 0.61 G, 0.40 G
-0.54 G, 0.63 G, 0.33 G
-0.44 G, 0.80 G, 0.29 G
-0.34 G, 0.87 G, 0.37 G
-0.25 G, 0.99 G, 0.33 G
-0.25 G, 1.02 G, 0.36 G
-0.34 G, 0.86 G, 0.36 G
-0.40 G, 0.72 G, 0.33 G
-0.57 G, 0.66 G, 0.30 G
-0.70 G, 0.65 G, 0.28 G
-0.71 G, 0.80 G, 0.16 G
-0.69 G, 0.95 G, 0.23 G
-0.69 G, 0.91 G, 0.33 G
-0.54 G, 0.94 G, 0.36 G
-0.45 G, 0.88 G, 0.43 G
-0.42 G, 0.93 G, 0.40 G
-0.34 G, 0.78 G, 0.30 G
-0.39 G, 0.66 G, 0.29 G
-0.38 G, 0.69 G, 0.17 G